1	0.174990	0.808635	4.934732
2	0.173634        1.003143        4.920829
3	0.169293        0.758612        4.637816
4	0.165580        0.781694        4.654346
5	0.169003        0.777141        4.636838
6	0.165461        0.814372        4.636239
7	0.176457        0.804523        4.631785
8	0.176424        0.798986        4.631519
9	0.173526        0.805709        4.633167
10	0.182772        0.789223        4.633704
11	0.171507        0.799026        4.636167
12	0.177719        0.804959        4.638283
13	0.176981        0.818631        4.633851
14	0.177600        0.815166        4.636690
15	0.184255        0.812535        4.640120
16	0.169737        0.826226        4.635690
17	0.182309        0.818222        4.635485
18	0.188024        0.844729        4.640615
19	0.172063        0.837787        4.658488
20	0.169938        0.837269        4.637204
21	0.173667        0.852765        4.641959
22	0.182606        0.856677        4.645217
23	0.173859        0.854057        4.638568
24	0.174633        0.849037        4.644346
25	0.176126        0.857351        4.643714
26	0.175361        0.856990        4.656185
27	0.169621        0.875600        4.637569
28	0.177656        0.879556        4.634884
29	0.181927        0.889738        4.637609
30	0.186870        0.883767        4.635623
31	0.170526        0.888279        4.640710
32	0.175583        0.917428        4.645016
33	0.169801        0.889075        4.636907
34	0.185254        0.902477        4.659771
35	0.175306        0.917769        4.644694
36	0.164168        0.904391        4.636233
37	0.172181        0.904199        4.638022
38	0.184355        0.902246        4.640699
39	0.178108        0.919149        4.636547
40	0.164713        0.929418        4.739186
41	0.178689        0.929707        4.632621
42	0.166982        0.937173        4.639145
43	0.183830        0.945049        4.643040
44	0.165092        0.941997        4.649460
45	0.190194        0.955951        4.647782
46	0.175790        0.953505        4.653620
47	0.176515        0.953683        4.653387
48	0.174348        0.959814        4.761238
49	0.169669        0.962096        4.668524
50	0.169092        0.978316        4.643576
51	0.177819        0.973452        4.642445
52	0.164733        0.979672        4.639555
53	0.168095        0.983533        4.641490
54	0.175596        0.965624        4.648265
55	0.177860        0.964715        4.640757
56	0.173937        0.973167        4.635466
57	0.183137        0.973526        4.635319
58	0.176061        0.982550        4.646997
59	0.176965        0.979010        4.633904
60	0.181183        0.971721        4.634290
61	0.178544        0.989931        4.634022
62	0.173917        0.976227        4.633403
63	0.178367        0.979213        4.637017
64	0.178741        0.970214        4.650165
65	0.164388        0.977551        4.640973
66	0.178924        0.976739        4.641576
67	0.179626        0.974294        4.638977
68	0.178471        0.982442        4.639319
69	0.170645        0.983401        4.645903
70	0.165969        0.981143        4.657146
71	0.169181        0.985214        4.639654
72	0.188426        0.966606        4.646444
73	0.177958        0.966426        4.644197
74	0.172844        0.973894        4.649570
75	0.176604        0.970550        4.643065
76	0.171505        0.971224        4.656787
77	0.178108        0.972027        4.640719
78	0.177030        0.987348        4.645690
79	0.178919        0.960592        4.644116
80	0.179587        0.981982        4.645735
81	0.177768        0.976491        4.658054
82	0.180865        0.976767        4.643942
83	0.184581        0.971973        4.647594
84	0.167622        0.980170        4.651550
85	0.177960        0.969618        4.640508
86	0.180160        0.962055        4.693589
87	0.184014        0.985920        4.659415
88	0.178963        0.974518        4.642304
89	0.175914        0.974754        4.643443
90	0.179992        0.984139        4.641051
91	0.169001        0.982358        4.651249
92	0.173899        0.974814        4.649395
93	0.179570        0.984881        4.651077
94	0.175518        0.988436        4.656457
95	0.167375        0.969719        4.639888
96	0.183562        0.970006        4.646386
97	0.164275        0.976206        4.649530
98	0.176946        0.968949        4.646592
99	0.178843        0.981681        4.654402
100	0.182647        0.980082        4.647928
101	0.183316        0.978879        4.662236
102	0.192362        1.019758        4.646103
