#Frame No	IDIAP	Vibe
266	4.028881	0.238459
267	4.035985	0.229844
268	4.030205	0.226450
269	4.036218	0.231124
270	4.027740	0.227788
271	4.047996	0.237566
272	4.032125	0.249204
273	4.040227	0.238310
274	4.028270	0.242730
275	4.038695	0.238006
276	4.032319	0.240505
277	4.032634	0.235405
278	4.034051	0.234121
279	4.034859	0.238656
280	4.036319	0.240178
281	4.034095	0.234077
282	4.029114	0.234751
283	4.046434	0.239171
284	4.029984	0.227835
285	4.042738	0.227248
286	4.030561	0.231467
287	4.040573	0.237044
288	4.029825	0.245961
289	4.036862	0.242625
290	4.030828	0.236790
291	4.034653	0.241188
292	4.035446	0.237923
293	4.032524	0.236533
294	4.040892	0.228512
295	4.030034	0.231501
296	4.034473	0.241694
297	4.142558	0.227462
298	4.034974	0.234272
299	4.029350	0.228710
300	4.047783	0.237052
301	4.035790	0.240647
302	4.038413	0.228302
303	4.030080	0.236451
304	4.037635	0.235087
305	4.034083	0.236875
306	4.040519	0.227192
307	4.029166	0.241655
308	4.040555	0.238858
309	4.027843	0.239234
310	4.043392	0.239067
311	4.025135	0.232905
312	4.040799	0.226707
313	4.032108	0.235112
314	4.035629	0.235051
315	4.058302	0.237429
316	4.040037	0.238544
317	4.034335	0.237772
318	4.035966	0.235736
319	4.033827	0.225322
320	4.037452	0.239011
321	4.035188	0.226382
322	4.034133	0.229150
323	4.032477	0.232054
324	4.034975	0.231101
325	4.025132	0.230568
326	4.036597	0.234527
327	4.035234	0.236944
328	4.040011	0.243663
329	4.040104	0.236270
330	4.036474	0.230868
331	4.032628	0.239242
332	4.039652	0.236332
333	4.023584	0.236767
334	4.034298	0.229383
335	4.029157	0.228067
336	4.037091	0.241492
337	4.028335	0.236924
338	4.039935	0.229415
339	4.030552	0.234896
340	4.031335	0.245236
341	4.032283	0.238674
342	4.038372	0.237921
343	4.035079	0.237597
344	4.053752	0.226324
345	4.046392	0.229696
346	4.035377	0.239112
347	4.027111	0.240137
348	4.036625	0.241521
349	4.038748	0.233776
350	4.038905	0.236515
351	4.031837	0.236644
352	4.041318	0.245512
353	4.030540	0.227214
354	4.040101	0.235791
355	4.027998	0.243559
356	4.048510	0.244247
357	4.037219	0.231256
358	4.040494	0.236891
359	4.047689	0.227565
360	4.045832	0.244527
